,Speech,Product
57,view suzlon energy view purchase canadian solar,NAG
58,baba always wants encash emmotional atmosphere hes lost sheen drastically dramatically,NAG
59,people happy  km,CAG
60,please dont lose series itll shameful lose australian team home,NAG
61,well said,NAG
62,india become leading country mobile data usage mukesh ambani,NAG
63,agreed,NAG
64,intolerance indian groups allkhan amir khan muslimon talking every thinks,OAG
65,tweet hate,CAG
66,indian epress found shirish kunder acknowledgeable personality front page news standard indian epress gone oh forgot wife sitaram yachur resident editor indian epress ok,CAG
67,#entertainment karan johar might justin bieber kick sith season #koffeewithkaran,CAG
68,thats hypothetical bjp never win,CAG
69,mohit soni reality bro please read carefully,NAG
70, lakh unbiased approach regardless rank medal proud footballer,NAG
71,pakisthan got guts admit thing trueliars,OAG
72,im salman fan mate think fan zee news nano chit  notes lets talk intellect coz people low intellect judge people based choices,CAG
73,majority kashmiris proindia unable assert effectively order bring normalcy kashmir hence invitation going kashmir proindia kashmiris political movement try bring norm,NAG
74,lynching never part freedom struggle chaddis always chamchas british know,CAG
75,sham,OAG
76,dear india stop playing emotions people votes,CAG
77,dont compare five worst riots post independence lets know faltered congress cms riot hit states,NAG
78,remember japanese fan last fifa world cup wondering mizos decedents japanese world war ii famous battle kohima britishers japs ps pun intended,NAG
79,work nh getting completed particluarly hero honda chowk,NAG
80,anna hazare agent,CAG
81,ask khans ways kill drunk start human,CAG
82,sure gunman white american christian muslim otherwise headline would read muslim beerdrinking first word would calls trumps muslim ban worlds laughing stock failed implement great orange one call beerdrinking ban,CAG
83,cannot good country least support trying something better country today whole world recognise india modi,CAG
84,people promising banning beef north east hypocrisy best,OAG
85,take guy seriouslyafter contribution producing three children,OAG
86,indian muslims anti indians waiting become soon become majority people grab india always heart sympathy pakistan side shows love india farce,OAG
87,hell happening,OAG
88,man whats people copy pasting comment everywhere dont yall get tired,CAG
89,amma always remain heartsmay noble soul rest peace,NAG
90,like,NAG
91,per zee news  seats bjp total constituency  two seats given zee news free cost,CAG
92,irony display picture one end happy seeing one innocent dying end praying kill innocent,CAG
93,tata motors reaction whats view,NAG
94,army entered like thiefs territory armymen cowards india surgical strikes informed informed army,OAG
95,one defeat modi bihari people might saddened dint elect bjp jdu burden,CAG
96,anuj porinju view markets make new high budget,NAG
97,called seculars ruled nation yrs didnt even banned rsslol,OAG
98,#salute friend,OAG
99,puppet came mcd election #chutiya,CAG
100,r getting benefits areas r getting used thats whys start ing roads make weak,CAG
101,r u guys dis university gaurav seth pj anshu mishra shubham singh,NAG
102,alright lost match series losing winning part game cant always win every game win lose,NAG
103,fired across border went mutilate corpses sorry dont buy,CAG
104,see nifty hitting time highs within epiry,NAG
105,yes sir course happen cow become president pm cm mp mla human loiter road foraging food dying swallowing plastic,CAG
106,let us accept fact mini pakistan many pro pakistani anti national elements eists within country funded enemy countries weaken integrity peace security nation help heavyweight traitors politics north east kashmir hyderabad long large section fringe elements short term political monetary gains prefer destabilize economy national integrity following support eternal forces resolving issue pakistan china distant dream mr modi associates unless rotten fishes taken pond cannot epect clean system,NAG
107,winning elections important living upto epectations citizens days people blindly vote religion developmentfrankly speaking need activists like minded people want eperience unbiased development group activist keep legal check politicians beurocrats see functioning properly squandering public money way save country religion based corrupt politicians,OAG
108,guess happens daily right,OAG
109,congratulations,NAG
110,  lakh end truth prevails truth kejriwal delivers period,NAG
111,true good work opposed group vested interestin fact political parties often support elements search vote banks aggressive media activism also absent hi,CAG
112,would like know welspun india rec wockhardt gati metalyst,NAG
113,true,CAG
114,guys long bear nussiance weak cannot give befitting reply,NAG
115,however reservation poverty alleviation scheme social groups historically eploited marginalized rendered weaker muslims wanted window within obcs supreme court says create subwindow within obcs without breaching  barrier basis religion,CAG
116,jokes made seriously indian way business fear uncertainty,NAG
117,freedom speech lampooning freedom speech another young person,CAG
118,image deteriorated,OAG
119,see new battle btwn tata sons shapoorjees,NAG
120,mens blame daily soaps women mental violence men,NAG
121,time congress state centre  years assam  years centre importantly pm nominated assam,NAG
122,payed police kept money promised rbi,CAG
123,yes antoniofor us god within us everything everyone manifestation god followers sanatana dharma,NAG
124,president history like modi kills thousand muslims gujrat,OAG
125,mouni baba open mouth,CAG
126,anna unfortunately lost credibility conveniently forgotten lokpal bill saffron skin kejriwal hand transformed face indian politics major parties quietly adopted everything stood,CAG
127, rule says loudspeakers used pm am muslims right give azaan nonmuslims right sleep peacefully high court verdict,CAG
128,india fire innocent civilians mutilating soldiers fully justified,OAG
129,mohammad usman get country partition based two nations theory muslims gone pakistan,OAG
130,wanna meet girl said iphone user friendly,CAG
131,big decision tata need clear air,NAG
132,hello anuj sir views dial rally continue profit booking,NAG
133,best cutiepieall best film #phillauri,NAG
134,please advice bank nifty npa benefit psu banks,NAG
135,soon happen china depend pakistan supporting pakistan means end humanity,OAG
136,hope u get well soon wishes u got theres point wasting time make u understand anything best buddy,CAG
137,correption made essy becouse rs note big amount compaire rs rs,NAG
138,please leave secular stands something good society,NAG
139,mumbai many top politician pray health,NAG
140,happens pantry coach dedicated catering every epressdo really get food meal picture travel indian railways yes please let us know name epressthe fact railway passengers get pathetic food served indian railways,OAG
141,many people dumb enuf undrstand dese things,CAG
142,bhaiya sabse pahle ye hai kon mahangaayi badhi banwaas pr gaye hue note ban pr ese ghayab hue jaise gadhe k sir se seeng patrol eatables price hike pr ye mr india ban gaye k kahin dikhe hi nahi ab aagaye neend se jaag kar k chalo thoda publicity b lelun,CAG
143,congratulations bmp modiji please something develop india ecept good speeches,CAG
144,obviously havent read turning cheek funny kind christian fellow,CAG
145,modi jis elevation ominous sickulars antidemocratic individuals declared would leave country becomes pm black forces chanting mantras oblivious fact st century people differentiate chalk cheese,CAG
146,nda rules party good governance,CAG
147,bjp done last  yr mcdstop barkingdo work,OAG
148,thanks acknowledging im chelsea fan though im happier,NAG
149,bhai mainstream even mira rajput said third wave feminism destructiveand yes mainstream feminists indeed bullies keep rioting creating ruckus hate free speech conceal facts project lies etc evidence please counter perspective facts,CAG
150,happening  administration always sleeping mode,CAG
151,pm lair means den u lair nd u praying god also lai,NAG
152,priveleged life work meet ends dont get make choices,CAG
153,please comment rain industry regarding today stellar result,NAG
154,royal enfield icon possible shake image,NAG
155,bank england ready infuse bn additional funds economy help tide economic crisis likely caused breit,NAG
156,called #gaurakshaks claim r protecting mother #gaumata dese #gundaz sell der mother market#eport der mother countries shes use #shame dese #bhakts,NAG
157,communal feelings peak called multicultural country,OAG
158,pappu leave till net election,OAG
159,dear indian epress feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists dont even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed  men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa epect apology side mistake,CAG
160,sharukh travels broad gauge steam engine reporter stop whistling every steam news,CAG
161,agreed,NAG
162,heheheh suppose care image pakistani heading toward sell whole nation china name cpec,OAG
163,matt ellis would believe thing israel says israel lies like sugar daddy america claims country cares look behind curtain nothing lies hatred toward others death,OAG
164,metals rally sometime,NAG
165,ram nath ji goenka must feeling shame successors,OAG
166,really mr jack plz reveal much black money destroyed banks received around    notes back accounts black money,NAG
167,allowed travel goods train carrying beastshe worth luary enough,CAG
168,surprised perhaps u hear news launching cow ambulance service recently ambulance service poor n needy focus cowridiculous,OAG
169,haha  years development loot good accept,NAG
170,pak army intruded indian terrirtory killed indian soldiers laugh cup tea biscuits mutilated bodies went back barracks tell rubbish happening indian border forces watching mia khalifa sunny leone,OAG
171,heh turkey rd class pathetic country know,CAG
172,dont u think u r going far u son b#nigam,OAG
173,bjp  seats  seats  win  seat win siva sena land mark win according toilet paper,OAG
174,surgical strike pakistan surgical strike media long live modi diplomacy #saveindia,NAG
175,,NAG
176,digesting cattle food,CAG
177,mr kunder correct facts prove goon,NAG
178,illiterates started teaching highest literacy rate people nowdo u know ur literacy rate world among muslims horrible lowest literacy rate among religions,CAG
179,honble governor best one,CAG
180,maintenance bajaj keep bike get workshop u need,NAG
181,sitaram yechury amiable person marist lobby dominated hardcore ideologuesas member upper house contributed constructively,CAG
182,mean investment made relations friends,NAG
183,still support modi sarkaar rather chor congressmodi sarkaar much better stronger chor congress,OAG
184,banned banned religions well,CAG
185,jio effect like modi jio rest,NAG
186,escape sin promoting useless fellow,OAG
187,e pm spoke jst wt speak opposin memberother ntng,NAG
188,sanghi dose mila hai annaji ko fir se kyunki delhi jo mcd election hai filhal ab sab ko samajh gaye hai lokpal aur corruption crusader kitne paani hai aur kis k saath hai,CAG
189,time invest bank stock specially sbi icici,NAG
190,care eat even eat poo dont care,CAG
191,live country mob behaves like licence kill feel shameby ur logictaliban also right stone death people,NAG
192,time #laughatdeath tried yet,NAG
193,time come close jnu government type institute run wasting ta money jnu students guts please earn money pay fees ta payer money wasted shameful,OAG
194, people died indian epress finds humour itrip journalism,CAG
195,lol indian army pig army ha world  largest  time greater cant fight pakistan,OAG
196,modi banded  notes net step band congress party,CAG
197,transformational reinventing sustainable india also rebuilding credibility core hindu value live let live mutual respect,NAG
198,kashmiris also people india indian occupation,NAG
199,word cost mean take foreign debt consideration consider human wealth,CAG
200,cnbc tv  knocks competion budget congrats,NAG
201,fcuk shikha sharma,OAG
202,mr narang matter time stupid enough believe govts works betterment masses need read thoroughly prince niccolo republic plato sure govt complete term office bigger scams quote thats dr manmohan singh talking,CAG
203,hope car occupants safe unharmed,NAG
204,hello sun pharma short term long term,NAG
205,tit tat waymodi request u plz action asap,NAG
206,reasonifu,CAG
207,nothing new indians gossip take action instead spreading failures,CAG
208,remain seen inc uputtarakhandmanipur attract first time highly tech savy voters towards inc spikes recent poll pc points massive participation section poll moreover mann ki bate directly points section relentlesly,NAG
209,want upgrade  cc cc,NAG
210,tech mahindra nd stock like tcs infy wipro,NAG
211,cheap publicity stunt may wants big boss,OAG
212,like duke  took much time launch give name changing look reduce price,NAG
213,respect,NAG
214,sehwag comments made sense made stupid comparison big difference cricketer martyr,CAG
215,bought one plus  two months ago days back dropped got entire screen cracked though working finebut able repair due unavailability service centre jammu kashmirits frustrating,CAG
216,thats happens cant discern military activity act barbarism remember nli bodies whose soldiers refused acknowledge kargil conflict keep knowledge live fantasy land,OAG
217,cows definitely gonna vote modi ji ,CAG
218,congress mukt bharat k saath saath tumlogo ka v safaya ho jayegaharam khoro  yrs  hindu ka converstion hua islam par kya bologechutiya party india cpi,OAG
219,surprised another dictatorship begins form,CAG
220,true legend simply unparalleled kudos greatest philanthropist,NAG
221,stupid survey,OAG
222,anna hazard novice voice got value,CAG
223,isro copied face book technology simple,NAG
224,well kuwait american colony isnt,NAG
225,time post much positive previous one sir udayan mukherjee,NAG
226,enough support already turkey isnt ally like traitor come solve kashmir issue lol,CAG
227,support speech rss divider country want stay peace india communal,OAG
228,perfect eample vridha asharam people see repeat words heard early morning indian media using aana ji take wrong negative comments either bjp aap would say poor performance,CAG
229,would first time history nobel prize bitchs name proposed along humans,OAG
230,doubt holding many pistols ammunition etc police rounded holding firing police,CAG
231,course nothing made porikistan ecept training militantsthat well known chinkis took advantage r colonising pokistan looting thier reserves cpec,OAG
232,name minister mla mp whose son working army bsf crpf sacrificed lives nation serving border name minister mla mp whose children going government schools name minister mla mp whose family treated common government hospitals big private hospitals name minister mla mp whose children big luurious cars homes millions rupees name minister mla mp whose family visited abroad tapayers money name minister mla mp whose family stay  star hotels visit states within country  name minister mla mp whose family couldnt get railway plane ticket even hour big list make us fool saying people equal reality know eperience,NAG
233,bt massive winseriously,CAG
234,idiot realises truth slave single family rule destroyed nation years,OAG
235,hi anuj view balkrishan industries sun pharma,NAG
236,mr macchiwala spoken muslims gujrat thankful saved lives dont know get idea modi responsible riots,CAG
237,sir open doors competition telecom market good bless,NAG
238,govt care army rss else rss vs indian army,CAG
239,actually kassab hanged died natural death dengue doubt govt release video evidence prove kassab actually hanged,NAG
240,first finish called intellectual supporting antinational,NAG
241,please dont change kujliwal needed bjp like rahul gandi,NAG
242,pm already program still aired,NAG
243,linu free virus proof microsoft windows epensive virus proof pc manufaturers prefer microsoft windows linu,NAG
244,tow terrorst killd bouderindian army terrorst mob,CAG
245,question sir please name temple please also kashmiri pandits chanting bhajans,CAG
246,great n doubt,NAG
247,also according feminists aggressive comparable nazis even know nazis happened holocaust really comparing aggressive feminism genocide,OAG
248,pakistan sending dead bodies india like yesterday attack,NAG
249,invested technology secure transactions differentiate bank players shikha sharma,NAG
250,graduation sub political science u knw thn pist opinion poll playing important role terms propaganda set people mind,NAG
251,watch   dont watch anything else,CAG
252,nonsense,OAG
253,revenue projections owned minister irrespective projections given industry perspective think scenario building contingencies case projections business perspective get beyond self glorification budgets,NAG
254,country illiterate pm like modi people epect people dying india without home food pm busy making adhaar card animal really shameful situation  crore indian,OAG
255,anna dont see corruption bjp congress thats happening past  years,CAG
256,could ask vishal views automation artifical intelligence reskill people,NAG
257,mah govt loss  annual revenue plus increase unemployement planning rope km area highway concerned municipal dept bars shops mumbai already working everyone knows govt litreally go bankrupt without industry revenue,NAG
258,vishnu sreevalsan mothers day greet themhope mummy stays yummy mothers day,CAG
259,#entertainment #niasharma slutshamed posting music video actor perfect response posted second video,OAG
260,call airforce bomb hell dantewada,CAG
261,crocodile tears,CAG
262,takes quite mkts consolidate u want cash immediately get married someone q avail rs  lakhs cash dont forget invite bank branch manager wedding enable confirmation,NAG
263,friends stop giving much importance foolschachunder,OAG
264,come script thats mention cnbc   never makes tht,NAG
265,jammu kashmir state need business corridor jk state people ecitement misguided infiltrators since  days got thousands replys received jk state people pakistan peoples wrote thesis regarding intolerance jk statehere people depend terrorist organisations pakistan militents anti national elements people making stone pelting army police raised slogans favor anti national attitude wearing isis dressess pakistan flagsjk state students need get admissions south india collages mutual understanding interaction jk state south states verdict big salvation intoleranceneed marriage proposals south north jk state peoplejk state suffer lobour acts implementations route map life survive good opportunities major problem jk state thats teenagers following unlawful actneed industrial hub jk state better earningsi request prime minister modi ji please bring new reforms jk state better future citizensjai hind v p yadavjournalist+,CAG
266,stopped,OAG
267,yes,NAG
268,transform bike know human transformers,CAG
269,sir u carry india understand fake,CAG
270,pakistan monday rejected indias accusation killed two soldiers unprovoked firing mutilated bodies near line control jammu kashmi #drama,NAG
271,words indian army saying pakistani soldiers went across loc indian side mutilated bodies two indian soldiers came back one indian side dared engage,NAG
272,reason see upswing power sector today,NAG
273,compared regard infant mortality  literacy rate doesnt give right kill infants,NAG
274,research ground work dude media giving correct pic  indian support modis decision,NAG
275,shares prices tata sons going increased,NAG
276,anirban kundu pesticide,CAG
277,jio change aweaome jio slap idea airtel,NAG
278,proved mentalityread comment understand intellectuallyif dont knowledge visual technology u nt novice commenti dont comment scripts,NAG
279,dear indian epress feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists dont even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed  men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa epect apology side mistake,CAG
280,congress f ed gandhis change make sachin pilot president,OAG
281,darma viletions pak army india army presure unrest country,CAG
282,hi team need help people coverage everything please coverage village please stay one village village still dint get patta chitta land since  villages got india entire india panchayat dint get patta chitta land around  former housed govt saying formers back bone india lot agriculture dont get facilities government struggling lot please help reached lot mlas ministers asking bribe number ,CAG
283,wardswe follow new way banks previous days deposited total money draw ever req dobut wards need based deposits,CAG
284,secure lol,CAG
285,hypocrites everywhere,CAG
286,transfer fee additional backfire eisting monthly budget,NAG
287,individual choice working mother working mother one right put forth opinion others competition rather justice talent multi tasking cup tea look like,CAG
288,humble mukesh ambani pieces entrepreneurs inspire generation,NAG
289,actually need strict application laws senseless drivers,NAG
290,whether q epected good bank stocks q result start south indian bank tomorrow,NAG
291,tum logo ko swapndosh ki bimari h isme kisi ki problem ni h tukde ho gye ab kya chah rhe ho   ho,NAG
292,strong feeling jadhav already tortured killed pak jail,OAG
293,remembered scene omg paresh rawal describe scene news,NAG
294,bot fire powered md adnan self site  fattk site usama ahmad,NAG
295,guy doesnt know previous sp govt n leaders r full goons idiot,OAG
296,ab iski aukaat hi kya rah gayi hai ki bjp waale inki chinta may duble hon bus media abhi bhi inko cover kar raha hai,OAG
297,state developed karnataka check number companies opening seas branch blore qatar airways also starting local airline base bloresiddu got dreams blore sleep,NAG
298,also using free schedule found phone calling poor performance little bit disappounted understood living ahmedabad gets annoying eperience wt abt small places towns,OAG
299,united nations declare hafeed syeed terriristosama killed ur soilmalala atacked ur terroristsu support terroristall fake lol,OAG
300,tell one thing succession boss resignation correct wrong,NAG
301,scolding gives right mla shout like sp cityshe duty according lawif something legal according law police duty stop dharna police dont work according public sentiment work according law mla really worried liquor ruling party putting ban liquor,CAG
302,well way go patriarchalism dont need reason war battle need oblivious happen,NAG
303,drona goswami u forget gulf states,CAG
304,happy hate corruption modi said would remove fail meant politicians officials corrupt corr us sufferdemomonetizatio nothing,NAG
305,true china dont need militants ace product terrorist state,NAG
306,get z cover like salwari baba national award like baldy kher rajya sabha seat like z owner thug keep thugging mire licking rss shoes,OAG
307,pakistan involved duplication indian currency sending fake currency india traitorsand traitors feeling ripped possessionsmost hiding behind poor people saying gareebo ko maar diyabut actually traitors dying #salutetopm,CAG
308,thats good welcome gst people paid ta ta money spent indian economy,NAG
309,plz look education problem rural childrens facing,CAG
310,start resolving kashmir issue,CAG
311,muslims stealing cows etremism killed terror country owned democrat infact etremist shame,OAG
312,#karanjohar better look,NAG
313,u government donald trump nothing,OAG
314,yar ears r bleeding stop get bike stage,CAG
315,true india needs innovative creative whining ranting complaining self destructive paranoid comments,NAG
316,dont disturb everyday,OAG
317,comparison baap bikes,NAG
318,paid media +rss+bjp + anna v imaandaar kejriwaal,NAG
319,sonu right muslims believe nirakar philosophy build mosque loud speakers worship allah home,CAG
320,occasion international womens day congratulate women world wish happy healthy progressive bright future let respect women key role society well directly indirectly contribution overall developments nationhappy womens day feel power naari shakti,NAG
321,menakji entire police force security forces deployed protect political class scarcely police force left protection citizens hence crime rate bound raise simple logic,CAG
322,shame shiv sena thrown party,OAG
323, chest andh bhakts take serious actions r kadi ninda,CAG
324,mr modi sorry say u r forgetting u r giving birth new crime money gamble month passed already many raid done new currency forget old currency,CAG
325,jay hind pakistan jabrdast hamla kare hmari sena jbab dena jaruri h,CAG
326,doucett black atheism place christian nation livebefore wasting time dredging whole separation church state fallacy consider words james madison father constitutionwe staked whole political institutions upon capacity mankind selfgovernment upon capacity us govern control sustain according ten commandments godthe man authored constitution leave room doubt governing according ten commandments god congressional records christianity established religion united states america process drafting first amendment made intent founders abundantly clear approved final wording first amendment went nearly dozen different iterations etensive discussions want america great britain dont want one denomination running nation catholics anglicans single denomination want gods principles dont want one denomination running nationthis intent well understood evidenced court rulings first amendment  court declared form government christian religion established religion sects denominations christians placed equal footing us almanac respected publication constitute ultimate authority founding fathers speaking us constitution hold authority position topics hand indeed upheld supreme law land evidenced us supreme court perhaps stupid needs educate,OAG
327,part time online job without investment important job facebook epert earn  month open play store install champcash mony free appsign champcash refer idinstall  apps champcash start online work,NAG
328,population control safe se immorality wonder second populous country planet,CAG
329,useless dealsbut encourages ecommerce industry,OAG
330,guy made obscene comments mentally ok sounds funny,OAG
331,modi knows talk n thts wht n giving fake promises says long run good country any say wht good said going happen bloody blind n dumb ppl hv ever seen,OAG
332,misuse aadhar used card identity proof strictly,NAG
333,sir ask  questionwhat keeping irb infra buzzingis ipo round corner,NAG
334,let ulamahs anouce jihad c sea jihadis againest amirican dogs,OAG
335,karan johar world knows gay,OAG
336,http indianepresscom article india fatwaissuedagainstrealitysingingstarnahidafrinbyclerics dear indian epress feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists dont even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed  men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa epect apology side mistake,OAG
337,congress elect pradip bhattacharya rs period west bengal,NAG
338,fit lps ips officer never emotional duty mla rudely behaving bold strong enough handle politicians circumstances first ordered lathi charge women protesting good cause ie stop selling liquor near villages lathi charge mla intervened represents village,OAG
339,bank nifty cracked today going,NAG
340,make issue ninda take strong stand deal many countries use arms situation waiting come civilian,NAG
341,personal choices nothing related love hatred stop nonsense,CAG
342,people already started closing ears listening close eyes launch,CAG
343,kejriwal better working corruption free anna dirty politics happened lokpal fights fast upa period product dirty swine,CAG
344,well said sonali,CAG
345,language bad voters still alive see going party work send home dont worry,CAG
346,idiot doesnot know president far strong form rule,OAG
347,money announced doubt ever get itit happened past many times,NAG
348,indian army watching bahubali  ipl pakistan army crossed border killed dogs,OAG
349,bjp leaders ndtv pain think pappu,OAG
350,bjps step kerala even modi get slippers tries visit kerala modi paramanaaari call state somalia bcos given bra wear wlc modi dare step kerala,OAG
351,atleast show reality happpensbut pak media army keeps people denial mode,CAG
352,india,NAG
353,attention indians launched false flag operations claimed pakistani forces infiltrated loc killed mutilated bodies two bsf jawans claimed location heavily mined fenced constant indian army surveillance citing attempted infiltration kashmiri militants obviously attempt sway international community away atrocities committed indian occupation forces unarmed kashmirispreviously drama done fool indian population election time god know mind simply evil end people india suffer one way,CAG
354,grt speaking dudetc,NAG
355,satnam singh joke year gi delhi work speaks mouth,NAG
356,hope people country understand vision motherland india support sir,NAG
357,fool even government worth print notes mistake hard work,CAG
358,bollywood female actor kajol enjoying beef friendsis anti national nowhttp dnaiin erkwatch videondtv,OAG
359,surgical strike pakistan indian forces enter pak bases strike vacate territoryreguarly indian forces heavy firing along various pak positions offencive defencive,NAG
360,time indian muslim hero gave good reply whp sheo sina bajrang dal  anti muslum killing babree masjid destruction bombay killed  muslims thousands muslim killed fanatis,CAG
361,many presidents ruling mr tharooreven case modi president dirty pig congress,OAG
362,accused convicted plz dont misrepresent way society misled,CAG
363,yes womens must given powers rights lets change nation,NAG
364,followed notification done stock bs inventory pawan goenka,NAG
365,mr pm must act dont ninda always,CAG
366,ur crap corrupt politicians kill meritorious candidates uplift non deserving category rural service difficult area doctors finally unfortunately result like,OAG
367,ashin jose chellamthara leftists goonda jehadist scoundrels sadly true left wingers left india,CAG
368,salaried also working lic advisor itr filing,NAG
369,perfect,NAG
370,kind media thisfirst make headlines indian soldiers killed rocket launchers n mutilating dead bodiesthis happen pak army crosses locbtw looks like #realsurgicalstrike evidences indian media,OAG
371,found validity comments made founders rajiv bansals severance pay infosys chairman,CAG
372,dare call terrorists freedom fighters presstitutes #ban antinational media houses,OAG
373,first decrease taes increase ta netcover every one pay minimum taes first catch politicians neta lots monies catch govt officials bureaucrats catch custom ecise people right peon top people catch police people lots monies catch sales income ta people right peon commissionersthey looted indiacatch municipality right peon municipality commissioners minted lots moniescatch peons setting done peonscatch railway people minted lots moniescatch state owned banks officials mint lots moniesindians intelligent cheating minting monies unethical mannersnot majority leave behind world bank imfcatch temples lots cash goldif want feedback give provide email idi feel  crores indians must pay direct indirect taes first catch corrupt netasand control rest fall line,NAG
